T             MC_cycles-ac                  N_spins                    <M>/N                  <M^2>/N                    <M^4>                    Gamma
2.22828282828283                    50000                      256     0.000106941407976108        0.611679972442413        0.414890458907067         1.10888095720265
2.22878787878788                    50000                      256     9.97917739874906e-05        0.610084390380817        0.413282664105449            1.11036908558
2.22929292929293                    50000                      256     0.000121038981161714        0.608487643317246        0.411443159188207         1.11123604288002
2.22979797979798                    50000                      256    -0.000540108969147984        0.608254652843694        0.411320626259623         1.11175632488493
2.23030303030303                    50000                      256    -0.000268539105066073        0.607630320090718        0.410620901440295         1.11214695975133
2.23080808080808                    50000                      256    -0.000875089273087917        0.606800960739624        0.409587914237575         1.11238369357556
2.23131313131313                    50000                      256       0.0013412831682527        0.606694906617677        0.409562062893852         1.11270239783781
2.23181818181818                    50000                      256     0.000305320813737599        0.605654210288859        0.408368832459352         1.11327666786635
2.23232323232323                    50000                      256     2.16348909428662e-05        0.605036874716507        0.407951170954936         1.11440870513895
2.23282828282828                    50000                      256     0.000224055326129275        0.604952627680778        0.407867815859808         1.11449135050111
2.23333333333333                    50000                      256    -0.000137787478388231        0.602708125965313        0.405320356228922         1.11579477138674
2.23383838383838                    50000                      256    -0.000142366323233745        0.603048231183054        0.405681538412293         1.11552972840371
2.23434343434343                    50000                      256     5.27412631549869e-05        0.601159483533068        0.403754973331263         1.11721942861886
2.23484848484848                    50000                      256      0.00078567685205592        0.602401949034857          0.4049130451055         1.11580687257249
2.23535353535354                    50000                      256    -0.000259521219979666        0.599560839480513         0.40209496777946         1.11856730213155
2.23585858585859                    50000                      256     0.000540961124523446        0.599830371400207        0.402309611854915         1.11815884929197
2.23636363636364                    50000                      256     0.000623133187939267        0.598486434677691        0.401013329444678         1.11956725125406
2.23686868686869                    50000                      256     0.000403930911401539        0.598693410043998        0.400844285994494         1.11832167294345
2.23737373737374                    50000                      256     0.000312360910512266        0.596756868977982        0.399255915932653         1.12113137532771
2.23787878787879                    50000                      256    -9.74873590193312e-05        0.596199097956648        0.398400174047401         1.12082262806839
2.23838383838384                    50000                      256      0.00105608691900038        0.596898355284268        0.399071916188233         1.12008350573625
2.23888888888889                    50000                      256     0.000765850033952735         0.59435590322625         0.39653977689729         1.12251873154057
2.23939393939394                    50000                      256     -0.00107391958983049        0.593178880303808         0.39541941435028         1.12379379223324
2.23989898989899                    50000                      256     0.000990799250160223        0.592405841886719        0.394564634507639         1.12429295927637
2.24040404040404                    50000                      256     0.000427433905957094        0.592552177499148        0.394571844657943         1.12375825597015
2.24090909090909                    50000                      256    -0.000166536158630485        0.592235501941189        0.394228354282961         1.12398102938948
2.24141414141414                    50000                      256     0.000492309946813035        0.590153781121066         0.39204213428837          1.1256473592623
2.24191919191919                    50000                      256    -0.000342354566427026        0.590569104726839        0.392442659729228         1.12521305858089
2.24242424242424                    50000                      256    -5.06181072525105e-05        0.589464484510963        0.391353675910126         1.12630011858871
2.24292929292929                    50000                      256    -0.000202847897698146        0.588076358557868        0.389974661467045         1.12763604230216
2.24343434343434                    50000                      256    -9.54698624600384e-05        0.586965468744444        0.388866347041634         1.12869150301958
2.24393939393939                    50000                      256     0.000264697082084977         0.58740863086772        0.389217415409432         1.12800654005985
2.24444444444444                    50000                      256     0.000799650272297689        0.586434917920885        0.388257878449837         1.12896540542623
2.24494949494949                    50000                      256     0.000584390488387616        0.584459617606991        0.386105044458764         1.13030710240556
2.24545454545455                    50000                      256     0.000934759527534527        0.583505150603665        0.385265066789468         1.13154086814743
2.2459595959596                    50000                      256     0.000449302640440443        0.584605361061326        0.386212795322805         1.13005887545562
2.24646464646465                    50000                      256     9.57380088439221e-05        0.583060199410036        0.384885145343042         1.13215100434874
2.2469696969697                    50000                      256     0.000487724897659705        0.582168392608947        0.383863628537884         1.13260824451699
2.24747474747475                    50000                      256    -0.000103153232461852        0.580295726453236          0.3820802393309         1.13463410277198
2.2479797979798                    50000                      256      0.00085092845576857        0.581845724572337         0.38322258341068         1.13197125688128
2.24848484848485                    50000                      256     0.000533254268928035        0.579146285897407        0.380652524193962         1.13488580248035
2.2489898989899                    50000                      256       0.0004242864274488         0.57794500028425        0.379564760818694          1.1363519541945
2.24949494949495                    50000                      256     0.000152415736885722        0.577656632850648        0.379124184716717         1.13616644935138
2.25                    50000                      256     0.000866262662397221        0.576744969690907        0.378360424879072         1.13746508274283
